customer_age,tenure_months,monthly_charge,total_charges,avg_monthly_usage_gb,num_products,has_streaming,has_security_pack,support_tickets,late_payments,contract_type,payment_method,internet_service,region,is_promo
58,19,33.971,441.55,49.93,4,1,1,4,1,mensual,transferencia,fibra,sur,0
44,27,100.671,2224.83,73.4,2,1,0,2,1,mensual,credito,cable,centro,0
62,27,53.589999999999996,1103.13,85.3,4,0,1,3,2,mensual,debito,cable,centro,0
24,72,102.11999999999999,6319.72,158.06,1,1,1,5,1,anual,efectivo,fibra,centro,1
64,41,55.93599999999999,1926.68,118.28,4,1,0,2,2,mensual,credito,cable,centro,0
51,57,65.76849999999999,3253.83,97.45,3,1,1,6,3,mensual,efectivo,fibra,centro,1
30,61,84.824,4342.92,105.2,4,1,1,2,1,mensual,debito,cable,norte,0
73,2,99.521,63.72,157.11,4,1,0,3,2,mensual,transferencia,cable,norte,0
19,44,70.127,2483.82,177.8,3,1,1,3,1,anual,debito,cable,oeste,0
49,22,71.33449999999999,1668.65,164.67,4,1,1,2,1,anual,credito,fibra,norte,0
33,34,58.696,1797.56,102.5,2,1,0,5,1,mensual,transferencia,fibra,centro,0
71,40,69.7935,2378.41,137.93,4,1,0,6,3,mensual,debito,cable,oeste,0
72,34,27.979499999999994,880.93,146.88,2,1,0,1,2,anual,debito,cable,norte,1
47,32,97.80749999999999,2654.0,78.95,4,0,1,4,1,anual,transferencia,fibra,centro,0
34,10,105.317,825.13,65.29,3,0,0,1,1,anual,debito,fibra,sur,0
64,56,64.49199999999999,3140.96,163.49,4,1,0,2,1,mensual,credito,movil,centro,1
48,38,88.34299999999999,2718.0,183.36,2,1,1,2,2,bianual,debito,movil,centro,1
48,68,79.005,4634.42,168.74,2,1,0,3,1,anual,debito,movil,centro,0
57,16,95.51899999999999,1475.28,199.94,4,0,1,2,2,mensual,debito,fibra,centro,0
48,15,107.06499999999998,1308.64,31.18,2,1,1,2,2,anual,debito,cable,centro,0
55,39,44.171499999999995,1454.89,150.5,1,0,1,5,4,anual,transferencia,fibra,centro,0
49,51,82.041,3396.55,93.81,4,1,1,4,3,mensual,debito,fibra,sur,1
25,43,71.231,2597.75,242.33,4,1,0,1,1,mensual,credito,cable,centro,1
60,62,77.93549999999999,4156.06,139.49,3,1,1,2,4,mensual,debito,ninguno,centro,1
52,1,66.148,50.0,155.33,3,1,1,3,1,anual,credito,fibra,norte,0
78,47,83.48999999999998,3554.26,178.14,4,1,0,1,1,mensual,transferencia,fibra,oeste,1
42,62,83.306,4474.9,66.56,3,1,0,2,3,mensual,debito,fibra,norte,0
55,60,53.81999999999999,2627.0,37.68,4,1,1,3,1,mensual,debito,fibra,oeste,0
69,38,75.14099999999999,2666.06,198.3,3,1,1,2,1,mensual,transferencia,ninguno,oeste,1
57,25,99.14149999999998,2348.97,47.41,2,1,0,5,1,mensual,transferencia,fibra,centro,1
21,11,73.6,543.99,95.58,3,1,1,3,1,anual,debito,movil,sur,0
20,44,76.314,2891.31,5.0,4,0,1,5,3,mensual,credito,fibra,centro,1
18,8,62.2035,480.46,140.75,2,1,1,2,1,anual,credito,movil,centro,0
27,34,75.14099999999999,2232.28,133.4,3,1,0,5,3,mensual,transferencia,fibra,centro,1
46,23,33.5685,853.85,155.05,4,1,1,4,1,mensual,credito,fibra,sur,1
39,60,87.722,4511.36,86.06,2,0,0,3,1,bianual,transferencia,fibra,norte,1
38,16,108.2725,1618.68,118.16,2,0,0,3,2,bianual,credito,cable,centro,0
27,20,66.723,898.29,150.25,3,1,1,1,3,anual,credito,cable,centro,0
25,17,65.0095,1078.6,114.04,3,1,1,5,3,mensual,transferencia,fibra,centro,0
