customer_age,tenure_months,monthly_charge,total_charges,avg_monthly_usage_gb,num_products,has_streaming,has_security_pack,support_tickets,late_payments,contract_type,payment_method,internet_service,region,is_promo
53,7,58.23,326.5,81.83,3,0,1,2,1,mensual,transferencia,cable,centro,1
53,56,56.75,3154.21,96.52,4,0,0,0,2,anual,debito,fibra,centro,0
73,48,78.84,3864.31,93.6,4,1,1,3,2,bianual,efectivo,movil,centro,1
25,32,79.74,2511.4,28.95,4,0,1,0,0,bianual,debito,movil,norte,0
61,32,55.37,1735.51,126.9,2,1,0,3,0,anual,efectivo,fibra,oeste,1
43,62,57.74,3649.57,130.85,2,1,0,1,0,anual,efectivo,movil,norte,1
22,7,74.74,462.38,110.71,1,1,0,1,0,mensual,debito,fibra,centro,0
68,51,50.1,2462.19,132.37,3,1,1,2,0,mensual,credito,cable,centro,0
18,15,57.61,823.89,132.91,2,0,1,1,1,anual,transferencia,cable,oeste,0
72,7,66.61,685.27,54.19,3,1,1,1,1,bianual,credito,movil,oeste,0
34,38,82.93,3257.01,134.43,3,0,1,2,0,bianual,efectivo,fibra,norte,0
29,71,54.12,4070.25,147.93,3,1,1,3,1,bianual,debito,fibra,oeste,0
36,53,31.84,1531.23,40.14,1,1,1,1,2,mensual,efectivo,ninguno,norte,0
75,55,30.5,1724.31,193.16,3,0,1,2,1,anual,credito,ninguno,centro,0
67,52,42.33,2156.47,58.21,1,1,1,3,0,anual,debito,movil,norte,0
46,57,41.36,2320.01,63.09,4,0,0,2,1,mensual,credito,fibra,sur,0
38,37,62.22,2117.26,130.1,1,0,1,1,0,mensual,debito,cable,centro,1
27,10,43.6,592.02,146.73,2,1,1,7,0,anual,credito,fibra,oeste,0
50,61,52.35,2998.68,158.88,2,0,0,3,1,mensual,debito,fibra,sur,0
63,33,51.07,1792.06,148.05,4,0,1,1,0,anual,transferencia,fibra,sur,0
24,37,57.07,2064.3,94.01,1,0,0,1,2,bianual,credito,movil,centro,1
23,27,88.81,2288.53,125.43,3,1,0,1,0,anual,credito,fibra,centro,0
65,14,76.92,962.24,104.17,4,1,0,2,0,mensual,efectivo,fibra,oeste,1
62,67,65.29,4380.44,128.71,4,1,1,0,0,mensual,efectivo,fibra,sur,1
44,57,56.7,3187.94,123.42,2,1,0,1,2,anual,transferencia,cable,norte,0
60,47,57.2,2688.94,94.75,2,1,0,3,1,anual,debito,movil,centro,0
49,29,70.9,1817.82,102.64,1,1,0,1,0,mensual,efectivo,fibra,centro,1
56,60,75.52,4283.41,27.39,2,1,1,1,0,mensual,debito,movil,oeste,0
29,40,48.66,1727.91,161.51,2,1,1,3,0,bianual,credito,fibra,norte,1
